콘존ID,콘존길이,기점종점방향구분코드,시작노드ID,종료노드ID,차로수,노선번호,제한속도,노선구성순번,콘존명,버스전용차로유무,도로등급구분코드
0150CZS305,5750,S,240,1039,3,150,110,11,비봉IC-팔탄JC,0,101
0150CZS310,4020,S,259,240,3,150,110,10,매송IC-비봉IC,0,101
0150CZS315,3800,S,490,259,3,150,100,9,팔곡JC-매송IC,0,101
0150CZS320,5120,S,319,490,3,150,100,8,안산JC-팔곡JC,0,101
0150CZS330,1410,S,330,319,3,150,100,7,서서울TG-안산JC,0,101
0150CZS340,1480,S,316,330,3,150,100,6,조남JC-서서울TG,0,101
0150CZS350,3160,S,315,316,3,150,100,5,목감IC-조남JC,0,101
0150CZS360,1150,S,278,315,4,150,100,4,광명역IC-목감IC,0,101
0150CZS370,2670,S,324,278,4,150,100,3,일직JC-광명역IC,0,101
0150CZS380,4200,S,231,324,2,150,100,2,금천IC-일직JC,0,101
0150CZS390,440,S,493,231,2,150,100,1,서해안선종점-금천IC,0,101
0153CZE010,10700,E,303,566,2,153,100,1,서평택JC-조암IC,0,109
0153CZE020,8500,E,566,1044,2,153,100,2,조암IC-마도JC,0,109
0153CZE025,3100,E,1044,567,2,153,100,3,마도JC-송산마도IC,0,109
0153CZE030,10600,E,567,1076,2,153,100,4,송산마도IC-남안산JC,0,109
0153CZE035,3300,E,1076,568,2,153,100,5,남안산JC-남안산IC,0,109
0153CZE040,3800,E,568,569,2,153,100,6,남안산IC-군자JC,0,109
0153CZS010,10700,S,566,303,2,153,100,6,조암IC-서평택JC,0,109
0153CZS020,8500,S,1044,566,2,153,100,5,마도JC-조암IC,0,109
0153CZS025,3100,S,567,1044,2,153,100,4,송산마도IC-마도JC,0,109
0153CZS030,10600,S,1076,567,2,153,100,3,남안산JC-송산마도IC,0,109
0153CZS035,3300,S,568,1076,2,153,100,2,남안산IC-남안산JC,0,109
0153CZS040,3800,S,569,568,2,153,100,1,군자JC-남안산IC,0,109
0160CZE010,12000,E,204,405,2,160,100,1,언양JC-울산JCT,0,101
0160CZE020,800,E,405,443,2,160,100,2,울산JCT-울산TG,0,101
0160CZE030,200,E,443,444,2,160,100,3,울산TG-울산IC,0,101
0160CZS010,12000,S,405,204,2,160,100,3,울산JCT-언양JC,0,101
0160CZS020,800,S,443,405,2,160,100,2,울산TG-울산JCT,0,101
0160CZS030,200,S,444,443,2,160,100,1,울산IC-울산TG,0,101
0170CZE010,2600,E,427,433,3,170,100,1,오성IC-평택JC,0,109
0170CZE020,2740,E,433,429,3,170,100,2,평택JC-어연IC,0,109
0170CZE030,1060,E,429,465,3,170,100,3,어연IC-북평택TG,0,109
0170CZE040,7350,E,465,430,3,170,100,4,북평택TG-향남IC,0,109
0170CZE050,5340,E,430,431,3,170,100,5,향남IC-서오산JC,0,109
0170CZE060,2730,E,431,425,3,170,100,6,서오산JC-정남IC,0,109
0170CZE070,1180,E,425,1034,3,170,100,7,정남IC-화성JC,0,109
0170CZE075,2000,E,1034,473,3,170,100,8,화성JC-봉담TG,0,109
0170CZE080,2630,E,473,424,3,170,100,9,봉담TG-봉담IC,0,109
0170CZE110,6300,E,424,585,2,170,100,10,봉담IC-금곡IC,0,109
0170CZE120,1700,E,585,586,3,170,100,11,금곡IC-동안산IC,0,109
0170CZE130,2600,E,586,587,3,170,100,12,동안산IC-남군포IC,0,109
0170CZE140,9400,E,587,588,3,170,100,13,남군포IC-동시흥JC,0,109
0170CZE150,12400,E,588,589,3,170,100,14,동시흥JC-남광명JC,0,109
0170CZE160,4800,E,589,590,2,170,100,15,남광명JC-소하IC,0,109
0170CZS010,2600,S,433,427,3,170,100,15,평택JC-오성IC,0,109
0170CZS020,2740,S,429,433,3,170,100,14,어연IC-평택JC,0,109
0170CZS030,1060,S,465,429,3,170,100,13,북평택TG-어연IC,0,109
0170CZS040,7350,S,430,465,3,170,100,12,향남IC-북평택TG,0,109
0170CZS050,5340,S,431,430,3,170,100,11,서오산JC-향남IC,0,109
